/m/01003yc	/type/object/name	/lang/en	Troubadour
/m/0100406	/type/object/key	/authority/musicbrainz	18595a7d-5f60-44d2-b855-1f0da544924f
/m/0100406	/type/object/key	/authority/musicbrainz/name	TRACK3375143
/m/010041j	/type/object/key	/authority/musicbrainz	722c5b0a-bcd9-4e48-b444-e169f2c08e25
/m/010041j	/type/object/key	/authority/musicbrainz/name	TRACK3375149
/m/010041z	/type/object/type	/music/track	
/m/0100463	/type/object/name	/lang/en	Dans la zone
/m/01004bq	/music/track/releases	/m/032f93q	
/m/01004f_	/type/object/key	/authority/musicbrainz	7f1bf8aa-4ae3-42d4-827c-2baf62e6a1be
/m/01004f_	/type/object/key	/authority/musicbrainz/name	TRACK3375222
/m/01004fk	/music/track/releases	/m/0395wcb	
/m/01004lc	/type/object/type	/music/track	
/m/01004lc	/type/object/type	/common/topic	
/m/01004n_	/music/track/releases	/m/033prgw	
