exchange,stock_symbol,date,stock_price_open,stock_price_high,stock_price_low,stock_price_close,stock_volume,stock_price_adj_close
NASDAQ,DYAX,2009-10-28,3.25,3.48,3.15,3.17,626500,3.17
NASDAQ,DYAX,2009-10-27,3.11,3.20,3.07,3.19,320100,3.19
NASDAQ,DYAX,2009-10-26,3.05,3.15,3.01,3.10,266700,3.10
NASDAQ,DYAX,2009-10-23,3.06,3.08,2.99,3.06,238000,3.06
NASDAQ,DYAX,2009-10-22,3.11,3.11,2.97,3.06,324500,3.06
NASDAQ,DYAX,2009-10-21,3.15,3.25,3.10,3.11,306000,3.11
NASDAQ,DYAX,2009-10-20,3.03,3.18,3.01,3.15,694000,3.15
NASDAQ,DYAX,2009-10-19,3.15,3.19,2.97,3.02,447700,3.02
NASDAQ,DYAX,2009-10-16,3.18,3.30,3.13,3.14,341900,3.14
NASDAQ,DYAX,2009-10-15,3.36,3.50,3.18,3.18,374800,3.18
NASDAQ,DYAX,2009-10-14,3.35,3.41,3.31,3.40,156600,3.40
NASDAQ,DYAX,2009-10-13,3.60,3.61,3.30,3.32,324900,3.32
NASDAQ,DYAX,2009-10-12,3.43,3.59,3.33,3.38,238500,3.38
NASDAQ,DYAX,2009-10-09,3.31,3.49,3.31,3.38,246500,3.38
NASDAQ,DYAX,2009-10-08,3.37,3.39,3.28,3.32,141800,3.32
NASDAQ,DYAX,2009-10-07,3.28,3.44,3.20,3.34,138400,3.34
NASDAQ,DYAX,2009-10-06,3.35,3.43,3.25,3.30,175700,3.30
NASDAQ,DYAX,2009-10-05,3.20,3.35,3.18,3.33,264200,3.33
NASDAQ,DYAX,2009-10-02,3.17,3.30,3.15,3.17,487900,3.17
NASDAQ,DYAX,2009-10-01,3.59,3.65,3.16,3.17,717700,3.17
NASDAQ,DYAX,2009-09-30,3.83,3.83,3.59,3.59,934600,3.59
NASDAQ,DYAX,2009-09-29,4.13,4.18,4.07,4.07,138000,4.07
NASDAQ,DYAX,2009-09-28,4.24,4.25,4.02,4.14,184200,4.14
