exchange,stock_symbol,date,stock_price_open,stock_price_high,stock_price_low,stock_price_close,stock_volume,stock_price_adj_close
NASDAQ,DXPE,2000-05-08,1.50,1.50,1.50,1.50,1600,0.75
NASDAQ,DBLE,1998-12-16,1.50,1.50,1.50,1.50,100,1.50
NASDAQ,DGII,2005-10-20,10.09,10.15,9.63,9.84,171500,9.84
NASDAQ,DTLK,2005-11-08,3.45,3.46,3.22,3.22,6300,3.22
NASDAQ,DGAS,1991-03-14,12.38,12.38,12.38,12.38,1700,4.11
NASDAQ,DGIT,2006-11-22,11.22,11.45,11.22,11.33,26000,11.33
NASDAQ,DHFT,2006-01-30,17.39,17.39,17.21,17.30,15400,12.53
NASDAQ,DCOM,1998-08-04,22.54,22.84,21.88,22.00,56000,4.37
NASDAQ,DWCH,1992-09-15,2.75,3.00,2.75,3.00,121800,6.75
NASDAQ,DELL,1997-08-07,84.62,84.75,82.12,82.62,52827200,10.33
NASDAQ,DISK,2008-08-07,1.14,1.15,1.11,1.15,15700,1.15
NASDAQ,DATA,1998-06-25,4.37,4.37,4.06,4.06,1000,2.71
NASDAQ,DUSA,1992-09-21,5.75,6.25,4.50,5.50,99700,5.50
NASDAQ,DJCO,1998-11-30,35.50,35.50,35.50,35.50,200,35.50
NASDAQ,DXPE,2009-02-11,13.87,14.38,13.33,13.66,60000,13.66
NASDAQ,DITC,2001-01-11,7.23,9.12,7.12,8.56,4118000,8.56
NASDAQ,DISH,2007-07-03,43.94,43.94,43.50,43.53,491800,39.18
NASDAQ,DARA,2009-09-23,0.59,0.66,0.55,0.60,2441200,0.60
NASDAQ,DINE,1996-08-05,6.68,6.93,6.56,6.93,8300,17.48
NASDAQ,DYNT,2006-05-24,1.24,1.27,1.23,1.24,19100,1.24
NASDAQ,DAIO,1996-04-30,6.50,6.50,6.25,6.25,86900,6.25
NASDAQ,DRCO,1997-04-04,8.75,8.75,8.50,8.50,4100,7.08
NASDAQ,DDMX,2009-03-31,13.38,13.55,12.59,13.08,20000,13.08
NASDAQ,DISK,1997-08-01,3.75,3.75,3.69,3.69,1100,3.69
NASDAQ,DTLK,2001-07-17,7.44,7.60,7.40,7.60,10200,7.60
NASDAQ,DLTR,2009-03-06,40.20,40.37,38.55,39.58,3127300,39.58
NASDAQ,DELL,1992-10-13,29.25,30.62,29.00,30.50,100083200,0.48
NASDAQ,DLPX,1992-10-07,1.69,1.75,1.50,1.63,38800,1.63
NASDAQ,DGII,1993-04-06,21.75,21.75,19.25,19.75,133100,19.75
NASDAQ,DISH,2001-07-06,29.66,29.68,28.23,28.70,1836900,25.07
NASDAQ,DRCO,1994-12-27,3.13,3.13,3.13,3.13,100,2.60
NASDAQ,DISCK,2009-01-02,13.27,13.79,13.27,13.78,497100,13.78
NASDAQ,DIET,2004-08-18,2.97,2.99,2.87,2.96,123800,2.96
NASDAQ,DLLR,2006-11-02,22.35,22.36,21.67,22.25,37400,22.25
NASDAQ,DHIL,2007-03-01,100.01,100.01,95.00,98.27,5100,84.66
NASDAQ,DENN,2006-07-11,3.57,3.64,3.47,3.52,676700,3.52
NASDAQ,DGICB,2001-08-02,12.20,12.20,12.20,12.20,3600,5.63
NASDAQ,DUSA,1995-05-22,4.37,4.63,4.25,4.63,14700,4.63
NASDAQ,DNDN,2005-09-12,6.30,6.50,6.18,6.42,624300,6.42
NASDAQ,DSCO,2001-09-24,2.22,2.22,2.03,2.03,46400,2.03
NASDAQ,DRAM,1995-06-26,5.50,5.50,5.37,5.50,20400,1.57
NASDAQ,DSPG,2007-08-14,16.63,16.82,16.29,16.29,193500,16.29
NASDAQ,DRRX,2010-01-04,2.51,2.56,2.44,2.56,133100,2.56
NASDAQ,DWCH,1998-10-01,1.25,1.25,1.19,1.19,47800,2.67
NASDAQ,DANKY,2006-12-06,1.55,1.56,1.44,1.47,74000,1.47
NASDAQ,DTPI,1999-03-11,23.75,24.00,23.50,23.94,48800,13.04
NASDAQ,DORM,1997-07-15,8.00,8.25,8.00,8.25,20000,4.12
NASDAQ,DARA,1994-09-15,7.50,7.63,7.50,7.50,1000,3000.00
NASDAQ,DRCO,1996-02-22,7.25,7.50,7.13,7.19,57000,5.99
NASDAQ,DWSN,2004-11-11,18.35,19.14,18.07,18.33,135500,18.33
NASDAQ,DIOD,1999-10-05,6.63,6.75,6.50,6.50,22800,1.28
NASDAQ,DPTR,2003-04-29,4.00,4.07,3.97,4.05,31300,4.05
NASDAQ,DNEX,1993-08-04,31.25,32.00,31.25,32.00,38800,8.00
NASDAQ,DLPX,1992-08-28,1.75,1.75,1.75,1.75,500,1.75
NASDAQ,DIOD,1995-12-27,11.00,11.12,10.88,11.00,131100,2.17
NASDAQ,DWSN,2006-12-05,37.85,38.00,37.14,37.30,93200,37.30
NASDAQ,DENN,2007-01-12,5.25,5.48,5.20,5.31,1455700,5.31
NASDAQ,DGIT,2004-02-02,2.02,2.06,1.95,2.01,9400,20.10
NASDAQ,DLTR,2005-01-25,27.25,27.57,27.00,27.16,622200,27.16
NASDAQ,DEPO,1999-02-23,10.37,10.50,10.37,10.44,4300,10.44
NASDAQ,DTV,2008-06-25,25.96,26.72,25.68,26.33,10795800,26.33
NASDAQ,DDMX,2006-06-16,21.15,21.15,19.49,20.22,228100,20.22
NASDAQ,DLTR,2007-08-09,40.94,41.50,37.34,39.28,3496300,39.28
NASDAQ,DEST,1994-11-17,10.75,11.25,10.50,10.75,25800,10.75
NASDAQ,DRAM,1996-10-24,7.00,7.25,7.00,7.25,61800,2.07
NASDAQ,DCAI,2007-03-28,12.60,12.75,12.51,12.51,6200,12.51
NASDAQ,DTSI,2008-05-30,31.23,33.63,31.00,33.50,675300,33.50
NASDAQ,DINE,1996-02-22,7.42,7.42,7.29,7.42,10500,18.68
NASDAQ,DDMX,2006-12-15,22.70,22.70,21.96,22.08,58000,22.08
NASDAQ,DPTR,1995-01-24,7.34,7.34,7.34,7.34,1500,7.34
NASDAQ,DBRN,2001-10-17,21.66,21.91,21.20,21.66,39600,5.41
NASDAQ,DYNT,2002-07-08,0.90,0.90,0.84,0.86,66100,0.86
NASDAQ,DXCM,2006-02-06,18.00,18.30,17.90,18.00,136600,18.00
NASDAQ,DXYN,2010-01-15,2.43,2.47,2.40,2.40,14100,2.40
NASDAQ,DWSN,2005-12-19,30.66,30.66,30.07,30.46,79700,30.46
NASDAQ,DRIV,2003-09-25,29.65,29.79,27.89,28.02,830300,28.02
NASDAQ,DWCH,2008-05-16,2.78,2.78,2.66,2.68,9000,2.68
NASDAQ,DEST,2002-02-28,11.47,11.75,11.45,11.75,10700,11.75
NASDAQ,DHFT,2003-12-18,15.82,15.94,15.82,15.92,13700,9.84
NASDAQ,DLTR,2005-12-01,23.14,23.36,22.74,23.31,1561000,23.31
NASDAQ,DAIO,2002-07-25,0.78,0.78,0.64,0.64,5300,0.64
NASDAQ,DGICB,2007-08-14,17.75,17.75,17.75,17.75,1200,16.80
NASDAQ,DINE,2009-09-17,14.98,15.27,14.66,15.03,28900,12.87
NASDAQ,DHIL,2000-11-08,2.06,2.13,2.06,2.13,1700,9.15
NASDAQ,DTLK,2008-08-12,6.00,6.43,5.87,6.25,109000,6.25
NASDAQ,DCOM,2008-01-30,14.72,14.85,14.27,14.33,284200,13.09
NASDAQ,DMLP,2003-07-22,18.01,18.01,17.69,17.75,20000,9.57
NASDAQ,DHFT,2003-05-01,12.55,12.60,12.52,12.52,5500,7.70
NASDAQ,DNBF,2001-05-31,15.65,15.65,15.65,15.65,600,9.30
NASDAQ,DNEX,1998-04-01,55.75,56.50,54.75,56.50,29400,28.25
NASDAQ,DISK,2005-08-15,3.09,3.09,2.91,2.96,145700,2.96
NASDAQ,DLTR,1999-02-11,39.94,40.00,38.87,39.19,826800,26.12
NASDAQ,DWCH,2005-08-11,3.97,4.00,3.92,3.93,20600,3.93
NASDAQ,DIOD,2000-07-27,22.38,22.88,18.38,20.75,948200,6.15
NASDAQ,DXYN,1995-10-10,5.34,5.83,5.22,5.34,19500,5.19
NASDAQ,DXYN,1998-06-02,12.66,12.85,12.54,12.66,61100,12.57
NASDAQ,DDRX,2007-05-11,3.90,4.37,3.87,4.00,33900,4.00
NASDAQ,DAVE,2000-05-15,3.25,3.25,3.00,3.00,22100,3.00
NASDAQ,DTLK,2005-05-04,2.29,2.29,2.10,2.20,18000,2.20
NASDAQ,DMRC,2009-11-25,14.84,15.26,14.72,14.92,26900,14.92
NASDAQ,DASTY,2004-03-19,40.58,41.17,40.38,40.59,207100,38.06
NASDAQ,DFZ,1993-03-16,6.75,6.75,6.62,6.62,18200,2.84
NASDAQ,DRAM,2005-02-15,5.95,6.17,5.95,6.15,19500,5.27
NASDAQ,DSPG,2004-05-19,25.28,25.80,25.06,25.14,201400,25.14
NASDAQ,DAVE,1998-03-02,7.12,7.12,6.75,6.75,99700,6.75
NASDAQ,DDIC,2008-11-20,3.69,3.81,3.26,3.34,102300,3.34
NASDAQ,DIGA,2000-11-22,2.13,2.19,1.91,2.06,16700,165.00
NASDAQ,DWSN,2002-11-06,6.03,6.22,6.03,6.22,200,6.22
NASDAQ,DLLR,2009-01-05,10.50,10.54,10.20,10.50,137600,10.50
NASDAQ,DCAI,2000-10-23,0.81,0.84,0.78,0.84,6800,0.42
NASDAQ,DBRN,1997-02-12,15.88,15.88,15.50,15.88,65600,3.97
NASDAQ,DRAM,2009-07-06,1.44,1.45,1.37,1.45,7600,1.45
NASDAQ,DRAD,2006-07-26,3.67,3.95,3.51,3.94,65300,3.94
NASDAQ,DFZ,2002-07-25,4.95,5.25,4.85,5.20,18400,4.96
NASDAQ,DTLK,2002-02-21,4.74,4.74,4.45,4.72,12900,4.72
NASDAQ,DLLR,2007-12-20,28.90,28.90,28.00,28.56,176400,28.56
NASDAQ,DGICA,2007-11-16,17.47,17.81,16.73,17.05,52600,16.03
NASDAQ,DCGN,2000-10-13,22.12,22.50,21.00,21.00,165200,21.00
NASDAQ,DSCO,2002-12-19,2.90,3.00,2.75,2.80,33000,2.80
NASDAQ,DSPG,2004-07-15,22.80,23.10,22.45,22.55,386200,22.55
NASDAQ,DAKT,1994-05-26,8.00,8.00,7.50,7.50,800,0.91
NASDAQ,DGICB,2009-10-15,17.56,17.56,17.56,17.56,000,17.36
NASDAQ,DECK,2004-10-18,34.90,36.30,34.70,35.53,701500,35.53
NASDAQ,DYII,2006-12-05,1.60,1.60,1.60,1.60,100,1.60
NASDAQ,DYNT,2001-03-22,2.81,2.84,2.66,2.75,36300,2.75
NASDAQ,DGICB,1992-04-23,9.50,9.50,9.50,9.50,000,1.94
NASDAQ,DTPI,2007-05-02,11.14,12.13,11.14,11.90,338000,9.98
NASDAQ,DASTY,2007-08-23,59.59,59.72,58.62,58.98,8400,57.49
NASDAQ,DELL,1999-07-09,41.44,42.81,41.38,42.81,46541400,42.81
NASDAQ,DGII,2006-05-17,11.99,12.20,11.22,11.95,178300,11.95
NASDAQ,DRCO,1996-12-11,9.88,9.88,9.62,9.75,2300,8.12
NASDAQ,DANKY,1993-05-17,22.03,23.13,21.66,23.01,333800,11.26
NASDAQ,DHIL,2007-02-08,103.82,108.65,103.82,107.99,8300,93.04
NASDAQ,DUSA,2003-07-22,2.95,2.99,2.95,2.99,16800,2.99
NASDAQ,DTSI,2009-08-27,27.30,27.30,26.50,27.03,57400,27.03
NASDAQ,DMND,2007-05-08,16.31,16.50,16.14,16.45,53200,16.12
NASDAQ,DRAM,1998-05-18,13.37,13.63,13.12,13.25,19500,3.79
NASDAQ,DIET,2000-10-31,1.44,1.44,1.44,1.44,100,1.44
NASDAQ,DEPO,2007-03-05,3.28,3.30,3.15,3.21,238300,3.21
NASDAQ,DJCO,1993-05-05,12.62,12.62,12.62,12.62,1000,12.62
NASDAQ,DIET,2000-11-22,1.44,1.44,1.31,1.31,9800,1.31
NASDAQ,DIET,2009-08-20,0.88,1.00,0.88,0.97,9100,0.97
NASDAQ,DANKY,2005-07-25,1.94,1.94,1.86,1.91,380000,1.91
NASDAQ,DITC,2006-08-15,8.55,8.74,8.45,8.67,193500,8.67
NASDAQ,DANKY,1995-03-13,25.21,25.21,24.60,24.96,219800,24.56
NASDAQ,DANKY,1999-03-25,5.28,5.34,5.09,5.15,155500,5.12
NASDAQ,DRAM,2002-09-18,2.77,2.99,2.77,2.99,2400,2.56
NASDAQ,DECK,2002-09-03,4.79,4.80,4.63,4.63,5800,4.63
NASDAQ,DOVR,2009-01-14,1.50,1.50,1.50,1.50,000,1.50
NASDAQ,DENN,2003-04-11,0.54,0.54,0.54,0.54,4000,0.54
NASDAQ,DLTR,2008-09-26,36.39,37.70,36.33,37.62,1040400,37.62
NASDAQ,DITC,2005-04-06,12.47,12.65,12.25,12.36,480100,12.36
NASDAQ,DISCB,2006-11-17,15.76,15.76,15.76,15.76,200,15.76
NASDAQ,DIOD,1999-09-21,7.00,7.69,7.00,7.13,117400,1.41
NASDAQ,DECK,2008-02-15,114.31,115.58,110.37,114.38,503300,114.38
NASDAQ,DMLP,2004-08-23,19.25,19.25,19.06,19.25,3900,11.63
NASDAQ,DUSA,2007-06-01,3.56,3.58,3.18,3.29,556100,3.29
NASDAQ,DAKT,1999-11-11,16.25,16.75,16.00,16.00,19200,1.95
NASDAQ,DWCH,2009-05-20,1.94,1.94,1.94,1.94,000,1.94
NASDAQ,DISK,1993-03-04,6.50,6.50,6.25,6.38,26700,6.38
NASDAQ,DUCK,1999-06-07,10.00,10.50,10.00,10.00,8500,10.00
NASDAQ,DENN,2001-09-24,0.75,0.77,0.75,0.75,10900,0.75
NASDAQ,DISK,1999-03-29,6.44,6.44,5.75,6.25,195600,6.25
NASDAQ,DJCO,2009-09-15,52.49,52.50,52.49,52.50,400,52.50
NASDAQ,DIOD,2000-08-08,18.38,18.50,17.38,17.75,297000,5.26
NASDAQ,DEAR,2007-08-20,12.82,13.01,12.82,12.95,4800,12.95
NASDAQ,DIET,2008-06-05,4.58,4.58,4.43,4.50,29600,4.50
NASDAQ,DORM,1994-02-28,8.25,8.75,8.25,8.25,18600,4.12
NASDAQ,DNEX,1995-12-12,56.00,56.50,56.00,56.50,33600,14.12
NASDAQ,DPTR,1998-09-30,1.75,2.50,1.75,2.50,8000,2.50
NASDAQ,DECK,2008-12-04,57.34,66.25,53.02,62.70,1294300,62.70
NASDAQ,DGICB,2009-07-07,14.10,14.10,14.10,14.10,700,13.85
NASDAQ,DSPG,1997-05-07,11.88,12.00,10.88,11.37,1249600,5.04
NASDAQ,DFR,2010-02-08,4.66,4.85,4.51,4.64,3000,4.64
NASDAQ,DSPG,2003-01-10,16.90,17.39,16.85,17.17,138900,17.17
NASDAQ,DWCH,2002-03-07,1.47,1.59,1.47,1.48,6600,0.74
NASDAQ,DWCH,2003-03-19,2.78,2.78,2.78,2.78,600,1.39
NASDAQ,DRAM,2009-06-03,1.39,1.39,1.38,1.38,2100,1.38
NASDAQ,DXYN,2000-12-22,2.58,2.94,2.50,2.56,37400,2.56
NASDAQ,DBLE,1999-01-29,1.41,1.41,1.41,1.41,1000,1.41
NASDAQ,DEPO,1999-02-25,10.50,10.63,10.37,10.37,2600,10.37
NASDAQ,DAIO,1993-07-23,3.00,3.38,3.00,3.25,32600,3.25
NASDAQ,DLPX,1992-02-21,3.00,3.00,2.87,2.87,5300,2.87
NASDAQ,DEST,2006-04-11,22.55,22.64,22.07,22.42,5000,22.42
NASDAQ,DAVE,1997-12-31,9.00,9.25,8.87,8.94,257400,8.94
NASDAQ,DLPX,1992-02-18,3.25,3.25,3.00,3.13,11100,3.13
NASDAQ,DENN,1999-02-18,6.00,6.06,5.81,5.81,26600,5.81
NASDAQ,DUSA,2009-10-16,1.17,1.35,1.17,1.33,339700,1.33
NASDAQ,DCOM,1998-03-20,23.14,23.14,22.78,22.90,59700,4.52
NASDAQ,DWA,2005-05-25,34.35,34.56,33.04,33.46,1842200,33.46
NASDAQ,DHFT,1993-03-19,12.85,12.85,12.47,12.85,20000,1.82
NASDAQ,DMND,2007-02-02,19.48,19.64,19.43,19.64,33900,19.21
NASDAQ,DSWL,2000-06-30,13.44,13.44,13.00,13.00,17100,3.29
NASDAQ,DGAS,2004-12-28,27.26,27.26,27.02,27.02,1000,21.18
NASDAQ,DAVE,2001-10-12,8.07,8.07,7.52,7.60,207400,7.60
NASDAQ,DUSA,2004-02-19,12.14,12.70,11.11,11.46,557000,11.46
NASDAQ,DDMX,1997-04-17,6.75,6.75,6.25,6.25,6000,6.25
NASDAQ,DNDN,2009-10-05,26.75,27.25,26.52,26.93,2082900,26.93
NASDAQ,DLPX,1992-01-29,2.25,2.62,2.25,2.62,9400,2.62
NASDAQ,DEAR,2004-12-30,29.83,29.83,29.14,29.20,1600,25.22
NASDAQ,DIOD,1997-08-15,11.81,12.25,11.75,12.12,95100,2.40
NASDAQ,DARA,2007-02-22,0.66,0.68,0.66,0.67,4600,26.80
NASDAQ,DRCO,2004-08-02,17.10,17.22,16.80,16.94,42100,16.94
NASDAQ,DRCO,2002-08-27,19.36,19.55,18.70,18.70,11700,18.70
NASDAQ,DEPO,2008-11-28,1.57,1.57,1.43,1.55,97500,1.55
NASDAQ,DRCO,2002-09-03,18.65,18.69,18.11,18.25,21100,18.25
NASDAQ,DIOD,1993-07-23,2.56,2.63,2.50,2.50,16600,0.49
NASDAQ,DGLY,2007-10-12,4.28,4.30,4.15,4.25,140200,4.25
NASDAQ,DITC,1999-09-07,76.50,77.94,68.44,69.25,1236400,34.63
NASDAQ,DIOD,2008-03-24,22.49,23.68,22.46,23.38,447600,23.38
NASDAQ,DLPX,1997-07-02,7.37,7.88,6.50,6.88,48800,6.88
NASDAQ,DASTY,2005-01-31,46.76,46.91,46.33,46.40,30800,43.90
NASDAQ,DELL,2009-12-03,13.77,13.84,13.43,13.46,27535700,13.46
NASDAQ,DWSN,2008-06-04,66.80,70.50,66.80,68.82,102700,68.82
NASDAQ,DSPG,1996-08-21,9.00,9.00,8.75,8.75,79200,3.88
NASDAQ,DCGN,2009-12-24,0.18,0.18,0.16,0.17,647000,0.17
NASDAQ,DGIT,2001-08-29,2.00,2.10,1.90,2.00,5200,20.00
NASDAQ,DINE,1996-10-07,6.19,6.44,6.19,6.31,17800,15.92
NASDAQ,DCOM,2006-04-04,14.10,14.17,13.81,13.98,106800,11.76
NASDAQ,DHIL,2003-10-31,5.40,5.40,5.00,5.00,1600,4.31
NASDAQ,DBLE,2006-05-08,18.25,19.11,17.86,19.11,32100,19.11
NASDAQ,DRCO,2000-05-17,7.63,7.63,7.19,7.19,39800,7.19
NASDAQ,DUCK,2008-12-01,11.02,11.28,10.50,10.50,600,10.50
NASDAQ,DNBF,2009-06-03,7.26,7.26,7.25,7.25,900,7.09
NASDAQ,DGIT,2002-03-12,1.19,1.19,1.14,1.14,3600,11.40
NASDAQ,DGICB,1998-02-26,21.25,21.75,21.25,21.75,4300,6.64
NASDAQ,DNEX,2009-05-29,55.35,56.36,54.11,56.36,139500,56.36
NASDAQ,DGIT,1997-11-21,3.56,3.62,3.56,3.56,700,35.63
NASDAQ,DGII,1995-09-15,28.75,29.25,28.00,28.50,52900,28.50
NASDAQ,DBLE,2000-05-22,3.11,3.38,3.11,3.38,7800,3.38
NASDAQ,DELL,1992-06-09,23.87,23.87,22.75,23.12,46771200,0.36
NASDAQ,DXPE,2009-04-29,13.02,13.60,13.00,13.44,108400,13.44
NASDAQ,DAKT,2007-08-31,27.24,27.90,27.05,27.50,218900,27.02
NASDAQ,DANKY,1993-04-29,18.85,20.56,18.60,20.32,865800,9.94
NASDAQ,DARA,2005-05-02,4.25,4.30,4.07,4.30,300,172.00
NASDAQ,DTPI,2007-12-11,7.57,7.67,7.13,7.15,230600,6.31
