exchange,stock_symbol,date,stock_price_open,stock_price_high,stock_price_low,stock_price_close,stock_volume,stock_price_adj_close
NYSE,GBX,2000-11-09,9.38,9.44,9.25,9.25,15300,8.26
NYSE,GCH,2008-09-17,9.03,9.22,8.34,8.40,265200,8.34
NYSE,GJF,2009-07-24,23.75,24.00,23.20,23.75,1400,23.01
NYSE,GMT,2001-02-07,46.80,47.23,46.57,46.58,64700,34.19
NYSE,GGC,1996-01-25,28.47,28.70,28.12,28.70,4700,579.36
NYSE,GVA,1998-03-17,29.00,29.50,29.00,29.12,36000,10.87
NYSE,GAH,2005-02-25,25.07,25.19,25.05,25.10,44500,18.98
NYSE,GGG,2008-12-26,22.08,22.44,22.00,22.44,197500,21.57
NYSE,GT,1982-12-16,31.00,31.50,30.50,30.62,301200,7.84
NYSE,GXP,1993-08-25,25.12,25.25,25.12,25.25,44400,9.37
NYSE,GE,2007-01-19,37.15,37.50,36.85,36.95,62906000,32.37
NYSE,GRR,2000-03-01,10.25,10.50,10.12,10.25,39000,8.01
NYSE,GRR,1994-01-11,15.20,15.32,14.96,15.20,106600,11.56
NYSE,GDP,2007-08-29,30.30,30.46,29.69,29.96,507500,29.96
NYSE,GA,2009-06-11,8.85,8.88,8.61,8.73,605800,8.73
NYSE,GIM,1991-04-22,3.66,3.72,3.66,3.66,190900,0.47
NYSE,GF,2009-06-22,8.04,8.10,8.00,8.02,88700,7.91
NYSE,GCV,2004-11-29,9.82,9.82,9.55,9.56,28700,5.85
NYSE,GJX,2009-10-14,25.05,25.05,25.05,25.05,300,24.20
NYSE,GOM,2008-09-30,8.45,8.45,7.67,8.20,142200,6.31
NYSE,GPC,2001-05-11,27.00,27.20,26.95,27.01,167600,19.89
NYSE,GET,2006-07-12,40.64,40.66,39.40,39.58,324500,39.58
NYSE,GSH,2003-05-21,8.75,8.75,8.50,8.55,3900,7.17
NYSE,GWW,1999-08-02,46.81,46.81,46.06,46.31,322600,38.75
NYSE,GBX,2002-10-28,5.05,5.65,5.05,5.60,195100,5.24
NYSE,GAS,1997-08-12,33.17,33.63,32.77,32.77,59000,18.30
NYSE,GPC,1992-07-22,24.33,24.33,23.93,24.23,53400,8.55
NYSE,GIS,2002-08-09,42.50,43.08,42.35,42.86,585900,35.57
NYSE,GPX,1992-11-04,2.62,2.69,2.56,2.62,2200,10.38
NYSE,GXP,2005-01-06,29.81,29.98,29.70,29.90,476000,22.41
NYSE,GNV,2009-03-19,1.78,1.88,1.65,1.73,21900,1.58
NYSE,GKK,2006-06-12,26.36,26.36,25.80,25.81,30800,19.19
NYSE,GAR,2009-04-16,26.08,26.11,25.90,25.91,7100,24.76
NYSE,GET,1994-09-12,18.80,18.91,17.40,17.83,209400,15.11
NYSE,GGG,2000-01-27,30.50,30.87,30.44,30.56,116100,7.26
NYSE,GFI,2006-01-25,21.44,21.58,20.91,21.45,2255100,20.20
NYSE,GB,2002-02-13,27.76,28.19,27.76,28.15,56100,28.15
NYSE,GJF,2008-07-10,21.00,21.00,21.00,21.00,000,18.97
NYSE,GHI,1998-09-28,9.16,9.32,9.11,9.27,44000,2.47
NYSE,GLF,2006-02-24,29.41,29.96,29.25,29.75,132300,29.75
NYSE,GDI,1998-08-24,20.56,20.56,20.19,20.25,46800,10.11
NYSE,GAI,2004-01-12,8.25,8.33,8.15,8.25,7400,8.25
NYSE,GCH,2003-07-18,10.92,11.20,10.92,11.11,25900,5.88
NYSE,GAS,1986-05-30,13.74,13.80,13.49,13.55,81400,1.55
NYSE,GRA,1984-04-06,5.91,5.99,5.91,5.99,25200,0.13
